,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,SPCE,22.9898,2020-08-28,25,20.0,17.0,3.0,86.0,214.0,19.14,2.96,40.187,0.453,0.498,27.68,11.778
1,SPCE,22.9898,2020-08-28,25,20.0,18.0,2.0,59.0,141.0,19.41,3.64,41.844,0.453,0.498,27.68,16.542
2,SPCE,22.9898,2020-08-28,25,20.0,19.0,1.0,29.0,71.0,19.71,1.32,40.845,0.453,0.498,27.68,21.926
3,SPCE,22.9898,2020-09-18,46,18.0,16.0,2.0,53.0,147.0,17.47,11.224,36.054,0.587,0.647,20.888,12.439
4,SPCE,22.9898,2020-09-18,46,18.0,17.0,1.0,26.0,74.0,17.74,5.112,35.135,0.587,0.647,20.888,16.482
5,SPCE,22.9898,2020-09-18,46,19.0,14.0,5.0,128.0,372.0,17.72,0.9,34.409,0.469,0.517,25.42,5.856
6,SPCE,22.9898,2020-09-18,46,19.0,15.0,4.0,113.0,287.0,17.87,11.32,39.373,0.469,0.517,25.42,8.852
7,SPCE,22.9898,2020-09-18,46,19.0,16.0,3.0,93.0,207.0,18.07,16.74,44.928,0.469,0.517,25.42,12.439
8,SPCE,22.9898,2020-09-18,46,19.0,17.0,2.0,66.0,134.0,18.34,15.16,49.254,0.469,0.517,25.42,16.482
9,SPCE,22.9898,2020-09-18,46,19.0,18.0,1.0,33.0,67.0,18.67,7.58,49.254,0.469,0.517,25.42,20.888
10,INO,19.8905,2020-08-28,25,16.0,13.5,2.5,63.0,187.0,15.37,0.304,33.69,0.42,0.502,25.078,15.054
11,INO,19.8905,2020-08-28,25,16.5,13.5,3.0,82.0,218.0,15.68,0.328,37.615,0.366,0.437,27.224,15.054
12,INO,19.8905,2020-09-18,46,13.0,10.0,3.0,82.0,218.0,12.18,31.221,37.615,0.537,0.664,16.926,8.603
13,INO,19.8905,2020-09-18,46,14.0,10.0,4.0,117.0,283.0,12.83,37.042,41.343,0.459,0.568,19.989,8.603
14,INO,19.8905,2020-09-18,46,15.0,10.0,5.0,162.0,338.0,13.38,46.403,47.929,0.381,0.472,23.119,8.603
15,INO,19.8905,2020-09-18,46,15.0,13.0,2.0,62.0,138.0,14.38,15.761,44.928,0.381,0.472,23.119,16.926
16,INO,19.8905,2020-09-18,46,15.0,14.0,1.0,25.0,75.0,14.75,1.881,33.333,0.381,0.472,23.119,19.989
17,INO,19.8905,2020-09-18,46,16.0,13.0,3.0,102.0,198.0,14.98,23.157,51.515,0.303,0.375,26.281,16.926
18,INO,19.8905,2020-09-18,46,16.0,14.0,2.0,65.0,135.0,15.35,12.438,48.148,0.303,0.375,26.281,19.989
19,INO,19.8905,2020-09-18,46,16.0,15.0,1.0,31.0,69.0,15.69,4.719,44.928,0.303,0.375,26.281,23.119
20,INO,19.8905,2020-09-18,46,17.0,13.0,4.0,160.0,240.0,15.4,42.251,66.667,0.225,0.279,29.437,16.926
21,INO,19.8905,2020-09-18,46,17.0,14.0,3.0,123.0,177.0,15.77,34.688,69.492,0.225,0.279,29.437,19.989
22,INO,19.8905,2020-09-18,46,17.0,15.0,2.0,89.0,111.0,16.11,30.125,80.18,0.225,0.279,29.437,23.119
23,WKHS,17.32,2020-09-18,46,14.0,10.0,4.0,105.0,295.0,12.95,3.496,35.593,0.389,0.455,25.376,9.508
24,WKHS,17.32,2020-09-18,46,14.0,11.0,3.0,85.0,215.0,13.15,8.872,39.535,0.389,0.455,25.376,12.837
25,WKHS,17.32,2020-09-18,46,14.0,12.0,2.0,60.0,140.0,13.4,9.248,42.857,0.389,0.455,25.376,16.645
26,WKHS,17.32,2020-09-18,46,14.0,13.0,1.0,30.0,70.0,13.7,4.624,42.857,0.389,0.455,25.376,20.855
27,SRNE,9.54,2020-09-18,46,6.0,5.0,1.0,25.0,75.0,5.75,9.005,33.333,0.547,0.638,15.995,10.227
28,SRNE,9.54,2020-09-18,46,7.0,3.5,3.5,90.0,260.0,6.1,12.145,34.615,0.392,0.458,22.244,3.142
29,SRNE,9.54,2020-09-18,46,7.0,4.0,3.0,80.0,220.0,6.2,13.267,36.364,0.392,0.458,22.244,5.229
30,SRNE,9.54,2020-09-18,46,7.0,4.5,2.5,75.0,175.0,6.25,19.389,42.857,0.392,0.458,22.244,7.609
31,SRNE,9.54,2020-09-18,46,7.0,5.0,2.0,70.0,130.0,6.3,25.511,53.846,0.392,0.458,22.244,10.227
32,SRNE,9.54,2020-09-18,46,7.0,5.5,1.5,50.0,100.0,6.5,16.633,50.0,0.392,0.458,22.244,13.034
33,SRNE,9.54,2020-09-18,46,7.0,6.0,1.0,35.0,65.0,6.65,12.756,53.846,0.392,0.458,22.244,15.995
34,SRNE,9.54,2020-09-18,46,8.0,3.5,4.5,140.0,310.0,6.6,11.347,45.161,0.238,0.277,28.59,3.142
35,SRNE,9.54,2020-09-18,46,8.0,4.0,4.0,130.0,270.0,6.7,15.642,48.148,0.238,0.277,28.59,5.229
36,SRNE,9.54,2020-09-18,46,8.0,4.5,3.5,125.0,225.0,6.75,24.937,55.556,0.238,0.277,28.59,7.609
37,SRNE,9.54,2020-09-18,46,8.0,5.0,3.0,120.0,180.0,6.8,34.232,66.667,0.238,0.277,28.59,10.227
38,SRNE,9.54,2020-09-18,46,8.0,5.5,2.5,100.0,150.0,7.0,28.526,66.667,0.238,0.277,28.59,13.034
39,SRNE,9.54,2020-09-18,46,8.0,6.0,2.0,85.0,115.0,7.15,27.821,73.913,0.238,0.277,28.59,15.995
40,SRNE,9.54,2020-09-18,46,8.0,7.0,1.0,40.0,60.0,7.6,11.411,66.667,0.238,0.277,28.59,22.244
41,ROKU,158.815,2020-08-28,25,142.0,137.0,5.0,130.0,370.0,140.7,0.174,35.135,0.474,0.556,25.965,21.261
42,ROKU,158.815,2020-08-28,25,143.0,138.0,5.0,135.0,365.0,141.65,0.247,36.986,0.445,0.523,26.951,22.169
43,ROKU,158.815,2020-08-28,25,144.0,139.0,5.0,140.0,360.0,142.6,0.124,38.889,0.417,0.49,27.975,23.084
44,ROKU,158.815,2020-08-28,25,145.0,140.0,5.0,150.0,350.0,143.5,4.946,42.857,0.389,0.457,29.011,24.017
45,ROKU,158.815,2020-09-18,46,140.0,135.0,5.0,150.0,350.0,138.5,18.437,42.857,0.425,0.526,26.313,22.236
46,FSLY,108.34,2020-09-18,46,90.0,85.0,5.0,130.0,370.0,88.7,2.769,35.135,0.408,0.506,25.446,20.97
47,SLV,22.53,2020-08-28,25,21.0,20.5,0.5,14.0,36.0,20.86,1.014,38.889,0.525,0.563,25.971,20.623
48,SLV,22.53,2020-09-04,32,21.0,20.0,1.0,28.0,72.0,20.72,0.62,38.889,0.46,0.503,27.38,17.552
49,SLV,22.53,2020-09-04,32,21.0,20.5,0.5,15.0,35.0,20.85,1.31,42.857,0.46,0.503,27.38,21.994
50,SLV,22.53,2020-09-11,39,20.5,20.0,0.5,13.0,37.0,20.37,1.335,35.135,0.571,0.604,23.33,18.746
51,SLV,22.53,2020-09-11,39,21.0,20.0,1.0,31.0,69.0,20.69,2.401,44.928,0.43,0.455,28.599,18.746
52,SLV,22.53,2020-09-11,39,21.0,20.5,0.5,16.0,34.0,20.84,1.701,47.059,0.43,0.455,28.599,23.33
53,SLV,22.53,2020-09-18,46,20.5,19.5,1.0,27.0,73.0,20.23,2.171,36.986,0.523,0.564,24.829,17.236
54,SLV,22.53,2020-09-18,46,20.5,20.0,0.5,14.0,36.0,20.36,1.586,38.889,0.523,0.564,24.829,20.701
55,SLV,22.53,2020-09-18,46,21.0,19.5,1.5,47.0,103.0,20.53,2.562,45.631,0.394,0.425,29.625,17.236
56,SLV,22.53,2020-09-18,46,21.0,20.0,1.0,34.0,66.0,20.66,4.375,51.515,0.394,0.425,29.625,20.701
57,SLV,22.53,2020-09-18,46,21.0,20.5,0.5,19.0,31.0,20.81,4.187,61.29,0.394,0.425,29.625,24.829
58,SLV,22.53,2020-09-30,58,20.0,19.0,1.0,25.0,75.0,19.75,3.186,33.333,0.597,0.642,21.814,15.327
59,SLV,22.53,2020-09-30,58,20.0,19.5,0.5,13.0,37.0,19.87,2.093,35.135,0.597,0.642,21.814,18.232
60,SLV,22.53,2020-09-30,58,20.5,19.0,1.5,43.0,107.0,20.07,3.952,40.187,0.479,0.515,26.032,15.327
61,SLV,22.53,2020-09-30,58,20.5,19.5,1.0,31.0,69.0,20.19,4.968,44.928,0.479,0.515,26.032,18.232
62,SLV,22.53,2020-09-30,58,20.5,20.0,0.5,17.0,33.0,20.33,3.984,51.515,0.479,0.515,26.032,21.814
63,NIO,13.145,2020-08-28,25,11.0,10.0,1.0,26.0,74.0,10.74,2.188,35.135,0.443,0.544,23.811,16.006
64,NIO,13.145,2020-08-28,25,11.5,10.0,1.5,43.0,107.0,11.07,0.885,40.187,0.34,0.418,28.076,16.006
65,NIO,13.145,2020-08-28,25,11.5,10.5,1.0,29.0,71.0,11.21,0.924,40.845,0.34,0.418,28.076,19.749
66,NIO,13.145,2020-09-18,46,10.0,9.0,1.0,25.0,75.0,9.75,5.614,33.333,0.52,0.632,19.387,13.302
67,NIO,13.145,2020-09-18,46,11.0,9.0,2.0,63.0,137.0,10.37,10.733,45.985,0.355,0.431,26.133,13.302
68,NIO,13.145,2020-09-18,46,11.0,10.0,1.0,35.0,65.0,10.65,8.867,53.846,0.355,0.431,26.133,19.387
